Company,Industry,Company Type,Sector,Contact,Pincode,Address,Website
Apollo Hospitals Enterprises Ltd (Apollo),"Hospitals , Healthcare",India's Top 500,Private Sector,"28290200, 28293333",600006,"No.21,Greams Lane, off. Greams Road, Chennai Tamil Nadu , 600006",www.apollohospitals.com
Ashok Leyland Ltd (Hinduja),"Automobile , Auto Ancillaries & Dealers",India's Top 500,Private Sector,22206000,600032,"No. 1, Sardar Patel Road, Guindy, Chennai Tamil Nadu , 600032",www.ashokleyland.com
BGR Energy Systems Ltd (BGR),"Environment, Petroleum , Oil , Gas , Refineries, Power , Energy, Engineering",India's Top 500,Private Sector,"24301000, 24335958",600018,"443, Anna Salai Teynampet, Chennai Tamil Nadu , 600018",www.bgrcorp.com
Carborundum Universal Ltd (Murugappa Group),"Cement , Marble , Stone etc",India's Top 500,Private Sector,30006161,600001,"Parry House, 43 Moore Street, Chennai Tamil Nadu , 600001",www.cumi.murugappa.com
Chennai Petroleum Corp. Ltd,"Petroleum , Oil , Gas , Refineries",India's Top 500,Public Sector,"24349833, 24349610",600018,"New No: 536, Anna Salai, Teynampet, Chennai Tamil Nadu , 600018",www.cpcl.co.in
Cholamandalam Investment & Finance Co Ltd (Murugappa Group),BFSI,India's Top 500,Private Sector,"40907172, 40907123",600001,"Dare House Ist Floor, 2, NSC Bose Road, Chennai Tamil Nadu , 600001",www.cholamandalam.com
E.I.D Parry India Ltd (Murugappa Group),Chemical,India's Top 500,Private Sector,"25306789, 25306240",600001,"No. 234, NSC Bose Road,Parrys Corner, Chennai Tamil Nadu , 600001",www.eidparry.com
Hatsun Agro Products Ltd,"Food , FMCG , Agriculture",India's Top 500,Private Sector,"24501622, 42949999",600097,"Rajiv Gandhi Salai (OMR) Karapakkam, Chennai Tamil Nadu , 600097",hap.in
Indian Bank,BFSI,India's Top 500,Public Sector,28134300,600014,"254-260, Avvai Shanmugam Salai, Royapettah, Chennai Tamil Nadu , 600014",www.indianbank.in
Indian Overseas Bank,BFSI,India's Top 500,Public Sector,"28524212, 28519464",600002,"763, Anna Salai, Chennai Tamil Nadu , 600002",www.iob.in
Loyal Textile Mills Ltd,"Export , Import Houses, Garment , Textile",India's Top 500,Private Sector,"42277374, 45120101",600002,"No.83 (Old No.41),Ist Main Road,R.A Puram, Chennai Tamil Nadu , 600002",www.loyaltextiles.com
